Plinth Area,No. of Columns,No. of Storeys,Foundation Type,Location,Year,Adjusted Cost (Base Year 2025/26)
88.00,12,2,Isolated,Bhaktapur,2024/25,"  5,987,140 "
88.54,12,4,Mat,Kathmandu,2024/25,"  10,808,642 "
57.63,9,4,Isolated,Kathmandu,2024/25,"  13,033,951 "
86.68,12,4,Isolated,Kathmandu,2024/25,"  16,742,798 "
69.96,9,3,Isolated,Lalitpur,2024/25,"  15,365,226 "
90.35,9,3,Isolated,Kathmandu,2024/25,"  11,868,313 "
80.83,9,4,Isolated,Kathmandu,2024/25,"  13,245,885 "
95.55,12,3,Isolated,Kathmandu,2023/24,"  11,685,318 "
58.43,9,4,Isolated,Bhaktapur,2024/25,"  11,603,395 "
68.95,11,4,Isolated,Lalitpur,2024/25,"  10,384,774 "
63.62,9,2,Isolated,Lalitpur,2024/25,"  10,066,872 "
55.57,9,2,Isolated,Lalitpur,2024/25,"  11,020,576 "
56.83,9,4,Mat,Kathmandu,2024/25,"  12,398,148 "
67.63,9,4,Isolated,Bhaktapur,2024/25,"  11,709,362 "
57.35,9,3,Mat,Kathmandu,2023/24,"  11,315,195 "
74.92,9,4,Isolated,Kathmandu,2024/25,"  12,504,115 "
73.76,9,5,Mat,Kathmandu,2024/25,"  11,640,484 "
59.05,9,4,Isolated,Kathmandu,2024/25,"  12,133,230 "
64.58,9,2,Mat,Kathmandu,2024/25,"  6,411,008 "
68.47,11,5,Mat,Kathmandu,2024/25,"  10,066,872 "
75.87,11,3,Mat,Bhaktapur,2024/25,"  10,967,593 "
87.70,9,4,Isolated,Kathmandu,2024/25,"  15,842,078 "
106.10,11,2,Isolated,Bhaktapur,2023/24,"  10,574,949 "
89.37,12,4,Mat,Kathmandu,2024/25,"  10,225,823 "
72.13,12,3,Isolated,Bhaktapur,2025/26,"  9,000,000 "
75.15,9,3,Isolated,Bhaktapur,2025/26,"  10,150,000 "
63.28,9,3,Isolated,Lalitpur,2025/26,"  11,200,000 "
93.00,9,3,Isolated,Lalitpur,2024/25,"  11,391,461 "
64.38,9,3,Isolated,Kathmandu,2025/26,"  11,500,000 "
64.85,9,4,Isolated,Kathmandu,2024/25,"  10,013,889 "
109.35,12,5,Isolated,Kathmandu,2025/26,"  19,500,000 "
97.27,13,4,Mat,Kathmandu,2024/25,"  16,159,979 "
75.75,9,4,Isolated,Kathmandu,2024/25,"  12,610,082 "
75.19,9,3,Isolated,Kathmandu,2024/25,"  11,603,395 "
97.54,12,3,Isolated,Bhaktapur,2024/25,"  11,285,494 "
88.98,9,3,Isolated,Kathmandu,2024/25,"  8,318,416 "
85.94,8,3,Isolated,Kathmandu,2024/25,"  9,748,971 "
91.23,9,5,Isolated,Kathmandu,2022/23,"  18,733,907 "
101.82,12,3,Isolated,Kathmandu,2023/24,"  12,689,938 "
127.18,12,2,Isolated,Bhaktapur,2023/24,"  10,416,324 "
91.70,9,3,Mat,Kathmandu,2022/23,"  10,946,356 "
91.23,9,3,Isolated,Bhaktapur,2024/25,"  11,391,461 "
60.50,8,3,Isolated,Bhaktapur,2024/25,"  11,709,362 "
115.00,13,4,Mat,Kathmandu,2024/25,"  12,398,148 "
82.30,12,5,Isolated,Kathmandu,2022/23,"  17,097,166 "
70.10,9,5,Mat,Lalitpur,2023/24,"  17,660,164 "
58.80,9,2,Isolated,Kathmandu,2022/23,"  7,349,696 "
110.20,12,3,Isolated,Bhaktapur,2023/24,"  11,103,696 "
104.28,9,5,Mat,Bhaktapur,2024/25,"  16,901,749 "
72.62,9,3,Isolated,Kathmandu,2024/25,"  9,854,938 "
64.10,9,3,Isolated,Bhaktapur,2024/25,"  11,338,477 "
80.85,9,2,Isolated,Lalitpur,2024/25,"  5,404,321 "
70.49,12,3,Isolated,Kathmandu,2024/25,"  9,960,905 "
92.55,9,3,Isolated,Lalitpur,2024/25,"  8,689,300 "
91.25,9,3,Isolated,Kathmandu,2024/25,"  11,762,346 "
56.88,12,3,Isolated,Kathmandu,2024/25,"  8,636,317 "
84.82,9,5,Mat,Bhaktapur,2024/25,"  13,828,704 "
95.78,12,2,Isolated,Kathmandu,2023/24,"  10,786,448 "
84.93,9,2,Isolated,Kathmandu,2024/25,"  10,861,626 "
92.39,11,3,Isolated,Kathmandu,2024/25,"  14,252,572 "
85.40,12,3,Isolated,Bhaktapur,2024/25,"  14,411,523 "
81.15,9,3,Mat,Lalitpur,2024/25,"  8,901,235 "
102.71,9,2,Isolated,Kathmandu,2023/24,"  7,984,086 "
93.99,12,3,Mat,Bhaktapur,2024/25,"  10,437,757 "
68.92,9,3,Mat,Kathmandu,2024/25,"  8,530,350 "
79.88,9,3,Isolated,Kathmandu,2024/25,"  10,543,724 "
77.30,9,4,Isolated,Kathmandu,2025/26,"  13,600,000 "
55.00,9,2,Isolated,Kathmandu,2024/25,"  7,841,564 "
76.82,9,3,Mat,Kathmandu,2024/25,"  10,119,856 "
97.51,9,4,Isolated,Kathmandu,2024/25,"  15,683,128 "
88.90,9,4,Isolated,Kathmandu,2024/25,"  18,650,206 "
81.34,12,2,Isolated,Kathmandu,2024/25,"  7,258,745 "
63.33,12,3,Mat,Kathmandu,2023/24,"  9,940,452 "
67.66,11,4,Isolated,Lalitpur,2024/25,"  12,398,148 "
83.33,9,3,Isolated,Kathmandu,2025/26,"  13,250,000 "
83.83,9,3,Isolated,Kathmandu,2025/26,"  12,200,000 "
